Week,Thousand Barrels p/Day
"Feb 08, 1991",6621
"Feb 15, 1991",6433
"Feb 22, 1991",6582
"Mar 01, 1991",7224
"Mar 08, 1991",6875
"Mar 15, 1991",6947
"Mar 22, 1991",7328
"Mar 29, 1991",6777
"Apr 05, 1991",7503
"Apr 12, 1991",6916
"Apr 19, 1991",7045
"Apr 26, 1991",6956
"May 03, 1991",6976
"May 10, 1991",7185
"May 17, 1991",6899
"May 24, 1991",7396
"May 31, 1991",7287
"Jun 07, 1991",7220
"Jun 14, 1991",7651
"Jun 21, 1991",7720
"Jun 28, 1991",7543
"Jul 05, 1991",7961
"Jul 12, 1991",7327
"Jul 19, 1991",7380
"Jul 26, 1991",7501
"Aug 02, 1991",7605
"Aug 09, 1991",7584
"Aug 16, 1991",7401
"Aug 23, 1991",7505
"Aug 30, 1991",7427
"Sep 06, 1991",6993
"Sep 13, 1991",7402
"Sep 20, 1991",7391
"Sep 27, 1991",7088
"Oct 04, 1991",6949
"Oct 11, 1991",7506
"Oct 18, 1991",7396
"Oct 25, 1991",7421
"Nov 01, 1991",7159
"Nov 08, 1991",7379
"Nov 15, 1991",7369
"Nov 22, 1991",6652
"Nov 29, 1991",6769
"Dec 06, 1991",6828
"Dec 13, 1991",7344
"Dec 20, 1991",7447
"Dec 27, 1991",7186
"Jan 03, 1992",6642
"Jan 10, 1992",6788
"Jan 17, 1992",6783
"Jan 24, 1992",7037
"Jan 31, 1992",7112
"Feb 07, 1992",7039
"Feb 14, 1992",6576
"Feb 21, 1992",7002
"Feb 28, 1992",6770
"Mar 06, 1992",7002
"Mar 13, 1992",6806
"Mar 20, 1992",7221
"Mar 27, 1992",7379
"Apr 03, 1992",7027
"Apr 10, 1992",7744
"Apr 17, 1992",6464
"Apr 24, 1992",7376
"May 01, 1992",7899
"May 08, 1992",7318
"May 15, 1992",7174
"May 22, 1992",7086
"May 29, 1992",7774
"Jun 05, 1992",7104
"Jun 12, 1992",7129
"Jun 19, 1992",7407
"Jun 26, 1992",7701
"Jul 03, 1992",7572
"Jul 10, 1992",7813
"Jul 17, 1992",7422
"Jul 24, 1992",7792
"Jul 31, 1992",7433
"Aug 07, 1992",7796
"Aug 14, 1992",7700
"Aug 21, 1992",7365
"Aug 28, 1992",7814
"Sep 04, 1992",7326
"Sep 11, 1992",7473
"Sep 18, 1992",7181
"Sep 25, 1992",7286
"Oct 02, 1992",7293
"Oct 09, 1992",7514
"Oct 16, 1992",7204
"Oct 23, 1992",7276
"Oct 30, 1992",7509
"Nov 06, 1992",6923
"Nov 13, 1992",7056
"Nov 20, 1992",7240
"Nov 27, 1992",7138
"Dec 04, 1992",7432
"Dec 11, 1992",7354
"Dec 18, 1992",7400
"Dec 25, 1992",7596
"Jan 01, 1993",7358
"Jan 08, 1993",6852
"Jan 15, 1993",6726
"Jan 22, 1993",7131
"Jan 29, 1993",6603
"Feb 05, 1993",7322
"Feb 12, 1993",6779
"Feb 19, 1993",7325
"Feb 26, 1993",6961
"Mar 05, 1993",7188
"Mar 12, 1993",7100
"Mar 19, 1993",7239
"Mar 26, 1993",7194
"Apr 02, 1993",6964
"Apr 09, 1993",6797
"Apr 16, 1993",7561
"Apr 23, 1993",7392
"Apr 30, 1993",7470
"May 07, 1993",7657
"May 14, 1993",7649
"May 21, 1993",7295
"May 28, 1993",7364
"Jun 04, 1993",7018
"Jun 11, 1993",7740
"Jun 18, 1993",7392
"Jun 25, 1993",7804
"Jul 02, 1993",7868
"Jul 09, 1993",7578
"Jul 16, 1993",8113
"Jul 23, 1993",7916
"Jul 30, 1993",7336
"Aug 06, 1993",8033
"Aug 13, 1993",7581
"Aug 20, 1993",8187
"Aug 27, 1993",7629
"Sep 03, 1993",7386
"Sep 10, 1993",7889
"Sep 17, 1993",7478
"Sep 24, 1993",7485
"Oct 01, 1993",7387
"Oct 08, 1993",7276
"Oct 15, 1993",7613
"Oct 22, 1993",7704
"Oct 29, 1993",7788
"Nov 05, 1993",7640
"Nov 12, 1993",7552
"Nov 19, 1993",7992
"Nov 26, 1993",6845
"Dec 03, 1993",7430
"Dec 10, 1993",8074
"Dec 17, 1993",7684
"Dec 24, 1993",7411
"Dec 31, 1993",7567
"Jan 07, 1994",7124
"Jan 14, 1994",7124
"Jan 21, 1994",7157
"Jan 28, 1994",6321
"Feb 04, 1994",6953
"Feb 11, 1994",7487
"Feb 18, 1994",6993
"Feb 25, 1994",7372
"Mar 04, 1994",7286
"Mar 11, 1994",7214
"Mar 18, 1994",7521
