Date,Week,ThousandBarrelsPerDay
"Jan 06, 2012",1,8179
"Jan 13, 2012",2,7996
"Jan 20, 2012",3,8098
"Jan 27, 2012",4,8018
"Feb 03, 2012",5,8039
"Feb 10, 2012",6,8167
"Feb 17, 2012",7,8628
"Feb 24, 2012",8,8363
"Mar 02, 2012",9,8262
"Mar 09, 2012",10,8415
"Mar 16, 2012",11,8379
"Mar 23, 2012",12,8710
"Mar 30, 2012",13,8783
"Apr 06, 2012",14,8681
"Apr 13, 2012",15,8775
"Apr 20, 2012",16,8496
"Apr 27, 2012",17,8692
"May 04, 2012",18,8864
"May 11, 2012",19,8971
"May 18, 2012",20,8633
"May 25, 2012",21,8931
"Jun 01, 2012",22,8648
"Jun 08, 2012",23,9130
"Jun 15, 2012",24,8693
"Jun 22, 2012",25,8846
"Jun 29, 2012",26,9001
"Jul 06, 2012",27,8917
"Jul 13, 2012",28,8628
"Jul 20, 2012",29,8660
"Jul 27, 2012",30,8820
"Aug 03, 2012",31,8839
"Aug 10, 2012",32,9308
"Aug 17, 2012",33,9081
"Aug 24, 2012",34,9064
"Aug 31, 2012",35,9177
"Sep 07, 2012",36,8695
"Sep 14, 2012",37,8632
"Sep 21, 2012",38,8770
"Sep 28, 2012",39,8633
"Oct 05, 2012",40,8587
"Oct 12, 2012",41,8729
"Oct 19, 2012",42,8493
"Oct 26, 2012",43,8844
"Nov 02, 2012",44,8307
"Nov 09, 2012",45,8908
"Nov 16, 2012",46,8898
"Nov 23, 2012",47,8427
"Nov 30, 2012",48,8354
"Dec 07, 2012",49,8488
"Dec 14, 2012",50,8618
"Dec 21, 2012",51,8608
"Dec 28, 2012",52,8518
"Jan 04, 2013",53,8010
"Jan 11, 2013",54,8320
"Jan 18, 2013",55,8431
"Jan 25, 2013",56,8501
"Feb 01, 2013",57,8415
"Feb 08, 2013",58,8404
"Feb 15, 2013",59,8437
"Feb 22, 2013",60,8597
"Mar 01, 2013",61,8364
"Mar 08, 2013",62,8627
"Mar 15, 2013",63,8324
"Mar 22, 2013",64,8399
"Mar 29, 2013",65,8523
"Apr 05, 2013",66,8477
"Apr 12, 2013",67,8383
"Apr 19, 2013",68,8750
"Apr 26, 2013",69,8415
"May 03, 2013",70,8445
"May 10, 2013",71,8341
"May 17, 2013",72,8790
"May 24, 2013",73,8956
"May 31, 2013",74,8822
"Jun 07, 2013",75,8648
"Jun 14, 2013",76,8840
"Jun 21, 2013",77,8894
"Jun 28, 2013",78,9294
"Jul 05, 2013",79,9299
"Jul 12, 2013",80,8729
"Jul 19, 2013",81,8982
"Jul 26, 2013",82,9147
"Aug 02, 2013",83,9246
"Aug 09, 2013",84,9190
"Aug 16, 2013",85,9200
"Aug 23, 2013",86,9031
"Aug 30, 2013",87,9094
"Sep 06, 2013",88,8605
"Sep 13, 2013",89,9028
"Sep 20, 2013",90,8846
"Sep 27, 2013",91,8527
"Oct 04, 2013",92,8846
"Oct 11, 2013",93,9077
"Oct 18, 2013",94,8797
"Oct 25, 2013",95,9054
"Nov 01, 2013",96,9292
"Nov 08, 2013",97,9032
"Nov 15, 2013",98,8924
"Nov 22, 2013",99,8909
"Nov 29, 2013",100,8873
"Dec 06, 2013",101,8348
"Dec 13, 2013",102,9016
"Dec 20, 2013",103,9176
"Dec 27, 2013",104,8893
"Jan 03, 2014",105,8274
"Jan 10, 2014",106,8021
"Jan 17, 2014",107,8059
"Jan 24, 2014",108,8584
"Jan 31, 2014",109,8452
"Feb 07, 2014",110,8325
"Feb 14, 2014",111,8030
"Feb 21, 2014",112,8535
"Feb 28, 2014",113,8411
"Mar 07, 2014",114,8949
"Mar 14, 2014",115,8512
"Mar 21, 2014",116,9002
"Mar 28, 2014",117,8713
"Apr 04, 2014",118,8996
"Apr 11, 2014",119,8616
"Apr 18, 2014",120,8430
"Apr 25, 2014",121,8693
"May 02, 2014",122,8719
"May 09, 2014",123,9191
"May 16, 2014",124,9174
"May 23, 2014",125,9310
"May 30, 2014",126,9104
"Jun 06, 2014",127,8624
"Jun 13, 2014",128,9258
"Jun 20, 2014",129,8813
"Jun 27, 2014",130,9168
"Jul 04, 2014",131,8935
"Jul 11, 2014",132,9057
"Jul 18, 2014",133,8792
"Jul 25, 2014",134,9006
"Aug 01, 2014",135,9359
"Aug 08, 2014",136,8922
"Aug 15, 2014",137,8775
"Aug 22, 2014",138,9100
"Aug 29, 2014",139,9480
"Sep 05, 2014",140,8611
"Sep 12, 2014",141,8707
"Sep 19, 2014",142,8781
"Sep 26, 2014",143,8660
"Oct 03, 2014",144,8645
"Oct 10, 2014",145,9043
"Oct 17, 2014",146,8836
"Oct 24, 2014",147,8867
"Oct 31, 2014",148,9162
"Nov 07, 2014",149,9005
"Nov 14, 2014",150,9194
"Nov 21, 2014",151,9254
"Nov 28, 2014",152,9425
"Dec 05, 2014",153,8549
"Dec 12, 2014",154,9373
"Dec 19, 2014",155,9518
"Dec 26, 2014",156,9614
"Jan 02, 2015",157,8809
"Jan 09, 2015",158,8875
"Jan 16, 2015",159,8851
"Jan 23, 2015",160,9022
"Jan 30, 2015",161,8442
"Feb 06, 2015",162,8282
"Feb 13, 2015",163,8809
"Feb 20, 2015",164,8915
"Feb 27, 2015",165,8630
"Mar 06, 2015",166,8515
"Mar 13, 2015",167,9260
